epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,106.487,1.88943,2.92345,1.76751,0.43777,0.31591,0.29561,0.1196,2.16235,3.29707,1.86753,0.00998243,0.00332748,0.00998243,0.00332748,0.00998243,0.00332748,0.00998243,0.00332748
2,201.187,1.89336,2.21417,1.76289,0.42612,0.31128,0.29154,0.11025,2.27807,2.65883,2.08896,0.0195868,0.00652892,0.0195868,0.00652892,0.0195868,0.00652892,0.0195868,0.00652892
3,290.621,1.97815,2.2663,1.85913,0.21836,0.21051,0.1187,0.04293,2.43889,5.23244,2.34805,0.0287951,0.00959837,0.0287951,0.00959837,0.0287951,0.00959837,0.0287951,0.00959837
4,381.095,2.02788,2.32797,1.93337,0.43765,0.28378,0.25134,0.10246,2.33021,3.09713,2.22406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,469.729,1.9484,2.14168,1.85514,0.5221,0.3404,0.35983,0.14871,2.20799,2.31236,1.97736,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,558.629,1.88686,2.00119,1.80521,0.58699,0.39478,0.41729,0.17468,2.16336,2.18168,1.93037,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,649.727,1.83659,1.91177,1.76705,0.64805,0.43305,0.48588,0.20985,2.09438,3.01824,1.87215,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,738.972,1.79944,1.8398,1.73446,0.67754,0.44091,0.49192,0.21919,2.07584,1.88636,1.86308,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,827.961,1.77408,1.7935,1.71005,0.70379,0.4756,0.54253,0.24861,2.00684,1.81172,1.77863,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,918.746,1.74078,1.7135,1.68232,0.72603,0.49495,0.56659,0.27271,1.94331,1.71292,1.74908,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1007.81,1.71183,1.66577,1.64654,0.73675,0.50791,0.58132,0.2753,1.93649,1.73278,1.69732,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1097.03,1.70285,1.63953,1.63924,0.74586,0.50694,0.58604,0.29238,1.89084,1.6434,1.67037,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1187.68,1.67675,1.61374,1.62289,0.75824,0.51768,0.59611,0.29553,1.88166,1.57695,1.6702,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1276.58,1.66636,1.5772,1.60766,0.76028,0.51632,0.60743,0.31236,1.82281,1.55107,1.61926,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1365.42,1.6436,1.53816,1.59565,0.78219,0.54916,0.64053,0.32601,1.82744,1.49184,1.61729,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1454.58,1.63593,1.51978,1.57928,0.78328,0.54411,0.63922,0.32673,1.82003,1.47718,1.59621,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1545.65,1.62359,1.49429,1.57028,0.76212,0.56751,0.64105,0.32998,1.81809,1.47573,1.60823,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1634.53,1.61271,1.4716,1.55483,0.80059,0.5601,0.65261,0.34176,1.78121,1.42893,1.58926,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1723.91,1.5943,1.45427,1.54353,0.80644,0.57407,0.67268,0.35076,1.77411,1.35596,1.56845,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,1812.2,1.58422,1.42417,1.53153,0.77947,0.58333,0.67302,0.35621,1.75561,1.37558,1.56474,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,1900.62,1.5675,1.40995,1.52555,0.79638,0.58434,0.68175,0.36398,1.73279,1.38281,1.53164,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,1988.96,1.55898,1.38584,1.51427,0.80593,0.60034,0.69399,0.37527,1.72106,1.32192,1.53033,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,2077.32,1.55004,1.37102,1.50886,0.7987,0.59983,0.69727,0.37991,1.70001,1.30667,1.50934,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,2165.56,1.55427,1.367,1.50461,0.80214,0.61431,0.70644,0.38979,1.6836,1.27451,1.50076,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,2253.62,1.52659,1.35229,1.49026,0.80502,0.61684,0.71246,0.39321,1.67601,1.27856,1.49109,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,2342.62,1.52649,1.33011,1.48265,0.81982,0.62429,0.72185,0.3953,1.68147,1.25315,1.4852,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,2431.38,1.51117,1.30662,1.47227,0.8127,0.62748,0.72217,0.39845,1.66309,1.24927,1.46991,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,2520.07,1.50969,1.29849,1.46983,0.82744,0.62761,0.72429,0.40204,1.65374,1.22838,1.46316,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,2608.76,1.49666,1.281,1.4623,0.81365,0.63436,0.72669,0.40466,1.65342,1.20886,1.46625,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,2697.83,1.48886,1.2612,1.45127,0.81954,0.64757,0.73461,0.4114,1.64175,1.19413,1.45824,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,2786.58,1.47866,1.25868,1.44155,0.8346,0.64647,0.73999,0.41661,1.63116,1.17718,1.4514,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,2875.4,1.46874,1.22863,1.43762,0.83871,0.64608,0.74384,0.4208,1.6259,1.16161,1.43893,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
